threshold_label,threshold_slug,bin_lo,bin_hi,bin_centre,mass
<= 75,le75,70.0,75.0,72.5,1411.1204756214186
<= 75,le75,75.0,80.0,77.5,2135.389520804418
<= 75,le75,80.0,85.0,82.5,1106.4860964089428
<= 75,le75,85.0,90.0,87.5,989.8840959657607
<= 75,le75,90.0,95.0,92.5,968.8796903066316
<= 75,le75,95.0,100.0,97.5,1069.0978220290845
<= 75,le75,100.0,105.0,102.5,909.79442466599
<= 75,le75,105.0,110.0,107.5,891.2527779824954
<= 75,le75,110.0,115.0,112.5,847.9039681744937
<= 75,le75,115.0,120.0,117.5,905.0774802180609
<= 75,le75,120.0,125.0,122.5,2312.2919924868265
<= 75,le75,125.0,130.0,127.5,1183.4576560714281
<= 75,le75,130.0,135.0,132.5,926.0286350987178
<= 75,le75,135.0,140.0,137.5,1021.0313764006276
<= 75,le75,140.0,145.0,142.5,808.550132393986
<= 75,le75,145.0,150.0,147.5,961.5296629642271
<= 75,le75,150.0,155.0,152.5,742.7958989050314
<= 75,le75,155.0,160.0,157.5,764.5941849952528
<= 75,le75,160.0,165.0,162.5,966.0299378667526
<= 75,le75,165.0,170.0,167.5,793.004140665687
<= 75,le75,170.0,175.0,172.5,739.199196901905
<= 75,le75,175.0,180.0,177.5,817.1018236922104
<= 75,le75,180.0,185.0,182.5,856.8844999331666
<= 75,le75,185.0,190.0,187.5,805.1194312690417
<= 75,le75,190.0,195.0,192.5,861.7405800875691
<= 75,le75,195.0,200.0,197.5,1177.8744829897164
<= 75,le75,200.0,205.0,202.5,1073.5399967647177
<= 75,le75,205.0,210.0,207.5,1066.4847270422451
<= 75,le75,210.0,215.0,212.5,1730.1527036792086
<= 75,le75,215.0,220.0,217.5,1496.9605936448797
<= 75,le75,220.0,225.0,222.5,938.7098835810036
<= 75,le75,225.0,230.0,227.5,820.7870525805413
<= 75,le75,230.0,235.0,232.5,629.625152068993
<= 75,le75,235.0,240.0,237.5,779.3011017539426
