province,urban_context_city,n,mean_date_range,mean_date_range_bca_lo,mean_date_range_bca_hi,mean_date_range_pct_lo,mean_date_range_pct_hi,median_date_range,median_date_range_bca_lo,median_date_range_bca_hi,median_date_range_pct_lo,median_date_range_pct_hi,latitude_null_rate,longitude_null_rate,not_before_null_rate,not_after_null_rate
Samnium / Regio IV,Sulmo,159,105.57232704402516,98.20463578809114,113.42596661764082,,,100.0,,,,,0.0,0.0,0.0,0.0
Africa proconsularis,Sabratha,158,154.99367088607596,139.57168719664705,169.9929000527618,,,200.0,,,,,0.0,0.0,0.0,0.0
Germania inferior,Noviomagus (Germania Inferior),156,115.05128205128206,98.4411818001599,134.69832344379842,,,60.0,,,,,0.0,0.0,0.0,0.0
Bruttium et Lucania / Regio III,Paestum,156,64.48076923076923,57.895119922054604,71.75224570065757,,,60.5,41.0,70.0,,,0.0,0.0,0.0,0.0
Sicilia,,155,125.85161290322581,115.27951177863915,138.1013471165618,,,100.0,,,,,0.0,0.0,0.0,0.0
Umbria / Regio VI,Pisaurum,155,96.08387096774193,86.22613360080084,106.74354830015997,,,100.0,,,,,0.0,0.0,0.0,0.0
Transpadana / Regio XI,Augusta Taurinorum,153,84.77124183006536,76.98276190497899,92.2156862745098,,,100.0,,,,,0.0,0.0,0.0,0.0
Latium et Campania / Regio I,Castrimoenium,152,70.63157894736842,61.0823178199837,80.0895374011632,,,50.0,,,,,0.0,0.0,0.0,0.0
Alpes Cottiae,Segusio,152,115.84210526315789,105.42946450507932,127.84786450912729,,,100.0,,,,,0.0,0.0,0.0,0.0
Latium et Campania / Regio I,Velitrae,151,83.06622516556291,72.98731977884978,93.56619458910929,,,90.0,60.0,100.0,,,0.0,0.0,0.0,0.0
Hispania citerior,Valentia (Hispania Tarraconensis) (1),150,108.52666666666667,99.31549227232064,118.06424198078193,,,100.0,,,,,0.0,0.0,0.0,0.0
Pannonia superior,Scarbantia,149,111.75838926174497,99.4718082325795,124.73261806946002,,,100.0,,,,,0.0,0.0,0.0,0.0
Dalmatia,Burnum,147,138.49659863945578,120.49659863945578,162.12785253693025,,,101.0,71.0,150.0,,,0.0,0.0,0.0,0.0
Sicilia,Catania,147,127.16326530612245,118.31376830207404,135.65986394557822,,,130.0,,,,,0.0,0.0,0.0,0.0
Samnium / Regio IV,Peltuinum,146,87.37671232876713,81.40616427187109,95.20200377013917,,,100.0,,,,,0.0,0.0,0.0,0.0
Germania inferior,Colonia Agrippinensis,145,88.89655172413794,75.66606033345192,102.88329252335313,,,60.0,30.0,100.0,,,0.0,0.0,0.0,0.0
Latium et Campania / Regio I,Nola,144,72.30555555555556,64.59757765595936,81.10690893407691,,,61.0,,,,,0.0,0.0,0.0,0.0
