width_bucket,bin_lo,bin_hi,bin_centre,mass,n_inscriptions
50 < width <= 100,180.0,185.0,182.5,1197.381277941632,66641
50 < width <= 100,185.0,190.0,187.5,1196.305527393618,66641
50 < width <= 100,190.0,195.0,192.5,1199.101236851308,66641
50 < width <= 100,195.0,200.0,197.5,1202.044811827018,66641
50 < width <= 100,200.0,205.0,202.5,904.4588661686224,66641
50 < width <= 100,205.0,210.0,207.5,830.0487801735812,66641
50 < width <= 100,210.0,215.0,212.5,829.8893836085248,66641
50 < width <= 100,215.0,220.0,217.5,828.6314842807601,66641
50 < width <= 100,220.0,225.0,222.5,824.2968728511008,66641
50 < width <= 100,225.0,230.0,227.5,819.7421442103412,66641
50 < width <= 100,230.0,235.0,232.5,636.5451225797334,66641
50 < width <= 100,235.0,240.0,237.5,587.8641878816497,66641
50 < width <= 100,240.0,245.0,242.5,587.3150008092999,66641
50 < width <= 100,245.0,250.0,247.5,587.7227900663481,66641
50 < width <= 100,250.0,255.0,252.5,443.1481316032802,66641
50 < width <= 100,255.0,260.0,257.5,406.70634025468746,66641
50 < width <= 100,260.0,265.0,262.5,400.3797757352402,66641
50 < width <= 100,265.0,270.0,267.5,399.6397775577781,66641
50 < width <= 100,270.0,275.0,272.5,381.3376865308487,66641
50 < width <= 100,275.0,280.0,277.5,373.1537676648032,66641
50 < width <= 100,280.0,285.0,282.5,372.4021380357416,66641
50 < width <= 100,285.0,290.0,287.5,372.3211135903972,66641
50 < width <= 100,290.0,295.0,292.5,375.8791857555125,66641
50 < width <= 100,295.0,300.0,297.5,377.4168697616602,66641
50 < width <= 100,300.0,305.0,302.5,544.4163559915731,66641
50 < width <= 100,305.0,310.0,307.5,586.2093240057093,66641
50 < width <= 100,310.0,315.0,312.5,586.1126132350923,66641
50 < width <= 100,315.0,320.0,317.5,586.1658232667392,66641
50 < width <= 100,320.0,325.0,322.5,585.8402250298016,66641
50 < width <= 100,325.0,330.0,327.5,588.484218447003,66641
50 < width <= 100,330.0,335.0,332.5,580.0069658556898,66641
50 < width <= 100,335.0,340.0,337.5,577.6072174473826,66641
50 < width <= 100,340.0,345.0,342.5,577.6735846528125,66641
50 < width <= 100,345.0,350.0,347.5,578.3575152538709,66641
100 < width <= 200,-50.0,-45.0,-47.5,39.4539155030846,44953
100 < width <= 200,-45.0,-40.0,-42.5,39.40740794741808,44953
100 < width <= 200,-40.0,-35.0,-37.5,39.39317128525777,44953
100 < width <= 200,-35.0,-30.0,-32.5,39.40832280040928,44953
100 < width <= 200,-30.0,-25.0,-27.5,57.627789745624945,44953
100 < width <= 200,-25.0,-20.0,-22.5,59.06419944058568,44953
100 < width <= 200,-20.0,-15.0,-17.5,59.51497919165259,44953
100 < width <= 200,-15.0,-10.0,-12.5,68.73814727778614,44953
100 < width <= 200,-10.0,-5.0,-7.5,74.6133858680337,44953
100 < width <= 200,-5.0,0.0,-2.5,74.66749680286321,44953
100 < width <= 200,0.0,5.0,2.5,207.63298591991605,44953
100 < width <= 200,5.0,10.0,7.5,241.80618519834428,44953
100 < width <= 200,10.0,15.0,12.5,242.27568438138866,44953
100 < width <= 200,15.0,20.0,17.5,243.022102451695,44953
100 < width <= 200,20.0,25.0,22.5,242.97046517527565,44953
100 < width <= 200,25.0,30.0,27.5,243.0374658701766,44953
100 < width <= 200,30.0,35.0,32.5,243.34127665190118,44953
100 < width <= 200,35.0,40.0,37.5,243.45838222409614,44953
100 < width <= 200,40.0,45.0,42.5,244.66539732368904,44953
100 < width <= 200,45.0,50.0,47.5,245.298600216997,44953
100 < width <= 200,50.0,55.0,52.5,284.1786992987934,44953
100 < width <= 200,55.0,60.0,57.5,293.81125376746866,44953
100 < width <= 200,60.0,65.0,62.5,294.07607851076983,44953
100 < width <= 200,65.0,70.0,67.5,294.55816616275706,44953
100 < width <= 200,70.0,75.0,72.5,329.4137162015719,44953
100 < width <= 200,75.0,80.0,77.5,338.4010463484418,44953
100 < width <= 200,80.0,85.0,82.5,340.9078881396812,44953
100 < width <= 200,85.0,90.0,87.5,341.7186086827424,44953
100 < width <= 200,90.0,95.0,92.5,342.5667827781314,44953
100 < width <= 200,95.0,100.0,97.5,337.71912772514384,44953
100 < width <= 200,100.0,105.0,102.5,494.8617596102185,44953
100 < width <= 200,105.0,110.0,107.5,549.8520434437288,44953
100 < width <= 200,110.0,115.0,112.5,559.3843562637032,44953
100 < width <= 200,115.0,120.0,117.5,557.0795229074092,44953
100 < width <= 200,120.0,125.0,122.5,560.0904470081199,44953
100 < width <= 200,125.0,130.0,127.5,565.4202677745451,44953
100 < width <= 200,130.0,135.0,132.5,568.845326348799,44953
100 < width <= 200,135.0,140.0,137.5,570.302085872404,44953
100 < width <= 200,140.0,145.0,142.5,571.425241333432,44953
100 < width <= 200,145.0,150.0,147.5,571.5889349418608,44953
100 < width <= 200,150.0,155.0,152.5,642.5302136588883,44953
100 < width <= 200,155.0,160.0,157.5,659.8808739853393,44953
100 < width <= 200,160.0,165.0,162.5,661.943430918267,44953
100 < width <= 200,165.0,170.0,167.5,663.3463012415306,44953
100 < width <= 200,170.0,175.0,172.5,695.0482484229213,44953
100 < width <= 200,175.0,180.0,177.5,703.9946435004122,44953
