nb,na,n,width,category,env_overlap_frac,share_corpus,cum_n,cum_share_corpus
250,600,1,351,other,0.2877,9.120259744997538e-06,109061,0.9946646480491764
250,330,1,81,other,1.0,9.120259744997538e-06,109062,0.9946737683089214
250,307,1,58,other,1.0,9.120259744997538e-06,109063,0.9946828885686665
250,280,1,31,other,1.0,9.120259744997538e-06,109064,0.9946920088284115
15,70,1,56,other,1.0,9.120259744997538e-06,109065,0.9947011290881564
15,54,1,40,other,1.0,9.120259744997538e-06,109066,0.9947102493479014
61,130,1,70,other,1.0,9.120259744997538e-06,109067,0.9947193696076464
61,110,1,50,other,1.0,9.120259744997538e-06,109068,0.9947284898673914
61,101,1,41,other,1.0,9.120259744997538e-06,109069,0.9947376101271365
61,93,1,33,other,1.0,9.120259744997538e-06,109070,0.9947467303868814
55,100,1,46,other,1.0,9.120259744997538e-06,109071,0.9947558506466264
55,85,1,31,other,1.0,9.120259744997538e-06,109072,0.9947649709063714
55,80,1,26,other,1.0,9.120259744997538e-06,109073,0.9947740911661164
55,79,1,25,other,1.0,9.120259744997538e-06,109074,0.9947832114258615
253,270,1,18,other,1.0,9.120259744997538e-06,109075,0.9947923316856064
253,263,1,11,other,1.0,9.120259744997538e-06,109076,0.9948014519453514
253,258,1,6,other,1.0,9.120259744997538e-06,109077,0.9948105722050964
251,340,1,90,other,1.0,9.120259744997538e-06,109078,0.9948196924648414
251,337,1,87,other,1.0,9.120259744997538e-06,109079,0.9948288127245863
251,331,1,81,other,1.0,9.120259744997538e-06,109080,0.9948379329843314
251,324,1,74,other,1.0,9.120259744997538e-06,109081,0.9948470532440764
60,74,1,15,other,1.0,9.120259744997538e-06,109082,0.9948561735038214
60,61,1,2,other,1.0,9.120259744997538e-06,109083,0.9948652937635664
59,200,1,142,other,1.0,9.120259744997538e-06,109084,0.9948744140233113
59,100,1,42,other,1.0,9.120259744997538e-06,109085,0.9948835342830564
59,79,1,21,other,1.0,9.120259744997538e-06,109086,0.9948926545428014
-59,14,1,74,bc_ad_boundary,0.8784,9.120259744997538e-06,109087,0.9949017748025464
-59,-30,1,30,other,0.7,9.120259744997538e-06,109088,0.9949108950622914
-60,300,1,361,bc_ad_boundary,0.9723,9.120259744997538e-06,109089,0.9949200153220363
255,257,1,3,other,1.0,9.120259744997538e-06,109090,0.9949291355817814
254,258,1,5,other,1.0,9.120259744997538e-06,109091,0.9949382558415264
254,257,1,4,other,1.0,9.120259744997538e-06,109092,0.9949473761012714
254,255,1,2,other,1.0,9.120259744997538e-06,109093,0.9949564963610164
253,337,1,85,other,1.0,9.120259744997538e-06,109094,0.9949656166207613
253,305,1,53,other,1.0,9.120259744997538e-06,109095,0.9949747368805063
253,300,1,48,other,1.0,9.120259744997538e-06,109096,0.9949838571402514
