LIST-ID,EDCS-ID,EDH-ID,urban_context_city,pleiades_id,province_edcs,province_edh,province,most_common_province,most_common_count
490310,EDCS-05802013,HD015835,Roma,423025,Latium et Campania / Regio I,Roma,Latium et Campania / Regio I,Roma,65399.0
490484,EDCS-28100005,HD065007,Roma,423025,Latium et Campania / Regio I,Roma,Latium et Campania / Regio I,Roma,65399.0
490641,EDCS-09001169,HD005037,Roma,423025,Latium et Campania / Regio I,Roma,Latium et Campania / Regio I,Roma,65399.0
490714,EDCS-08900804,HD007612,Roma,423025,Latium et Campania / Regio I,Roma,Latium et Campania / Regio I,Roma,65399.0
490762,EDCS-07600091,HD006232,Roma,423025,Latium et Campania / Regio I,Roma,Latium et Campania / Regio I,Roma,65399.0
491094,EDCS-38702045,HD033234,Roma,423025,Latium et Campania / Regio I,Roma,Latium et Campania / Regio I,Roma,65399.0
491229,EDCS-05702017,HD010360,Roma,423025,Latium et Campania / Regio I,Roma,Latium et Campania / Regio I,Roma,65399.0
491462,EDCS-05200653,HD025131,Roma,423025,Latium et Campania / Regio I,Roma,Latium et Campania / Regio I,Roma,65399.0
492107,EDCS-07400149,HD008358,Roma,423025,Latium et Campania / Regio I,Roma,Latium et Campania / Regio I,Roma,65399.0
492108,EDCS-09300827,HD007152,Roma,423025,Latium et Campania / Regio I,Roma,Latium et Campania / Regio I,Roma,65399.0
492221,EDCS-08500091,HD000565,Roma,423025,Latium et Campania / Regio I,Roma,Latium et Campania / Regio I,Roma,65399.0
492282,EDCS-05800667,HD013984,Roma,423025,Latium et Campania / Regio I,Roma,Latium et Campania / Regio I,Roma,65399.0
492306,EDCS-10700780,HD030573,Roma,423025,Latium et Campania / Regio I,Roma,Latium et Campania / Regio I,Roma,65399.0
513163,EDCS-10900143,HD004554,Roma,423025,Picenum / Regio V,Roma,Picenum / Regio V,Roma,65399.0
513465,EDCS-08400571,HD002308,Roma,423025,Provincia incerta,Roma,Provincia incerta,Roma,65399.0
513539,EDCS-67300017,HD039388,Roma,423025,Provincia incerta,Roma,Provincia incerta,Roma,65399.0
513560,EDCS-07000777,HD009170,Roma,423025,Provincia incerta,Roma,Provincia incerta,Roma,65399.0
513561,EDCS-07000778,HD009173,Roma,423025,Provincia incerta,Roma,Provincia incerta,Roma,65399.0
513562,EDCS-07000779,HD009176,Roma,423025,Provincia incerta,Roma,Provincia incerta,Roma,65399.0
513563,EDCS-07000780,HD009179,Roma,423025,Provincia incerta,Roma,Provincia incerta,Roma,65399.0
513564,EDCS-07000781,HD009182,Roma,423025,Provincia incerta,Roma,Provincia incerta,Roma,65399.0
513565,EDCS-07000782,HD009185,Roma,423025,Provincia incerta,Roma,Provincia incerta,Roma,65399.0
513566,EDCS-07000783,HD009188,Roma,423025,Provincia incerta,Roma,Provincia incerta,Roma,65399.0
513567,EDCS-07000784,HD009191,Roma,423025,Provincia incerta,Roma,Provincia incerta,Roma,65399.0
513790,EDCS-07000919,HD009686,Roma,423025,Provincia incerta,Roma,Provincia incerta,Roma,65399.0
519487,EDCS-00900381,HD026990,Roma,423025,Samnium / Regio IV,Roma,Samnium / Regio IV,Roma,65399.0
519681,EDCS-10801456,HD003784,Roma,423025,Samnium / Regio IV,Roma,Samnium / Regio IV,Roma,65399.0
519766,EDCS-10701050,HD014379,Roma,423025,Samnium / Regio IV,Roma,Samnium / Regio IV,Roma,65399.0
519770,EDCS-08500098,HD000571,Roma,423025,Samnium / Regio IV,Roma,Samnium / Regio IV,Roma,65399.0
520135,EDCS-32701122,HD014229,Roma,423025,Sicilia,Roma,Sicilia,Roma,65399.0
520178,EDCS-21900478,HD014232,Roma,423025,Sicilia,Roma,Sicilia,Roma,65399.0
521209,EDCS-08500235,HD000254,Roma,423025,Umbria / Regio VI,Roma,Umbria / Regio VI,Roma,65399.0
516471,EDCS-17201420,HD006282,Romula,203154,Roma,Dacia,Roma,Dacia,54.0
446811,EDCS-24600965,HD062044,Salona,197488,Aemilia / Regio VIII,Dalmatia,Aemilia / Regio VIII,Dalmatia,3470.0
446813,EDCS-24600963,HD062045,Salona,197488,Aemilia / Regio VIII,Dalmatia,Aemilia / Regio VIII,Dalmatia,3470.0
514390,EDCS-32300327,HD074842,Scarbantia,197501,Raetia,Pannonia superior,Raetia,Pannonia Superior,149.0
455610,EDCS-08701372,HD032192,Segovia,236658,Baetica,Baetica,Baetica,Hispania Citerior,26.0
455611,EDCS-08701373,HD032195,Segovia,236658,Baetica,Baetica,Baetica,Hispania Citerior,26.0
455612,EDCS-08701374,HD032198,Segovia,236658,Baetica,Baetica,Baetica,Hispania Citerior,26.0
464080,EDCS-07600439,HD006442,Sinope,857321,Cappadocia,Bithynia et Pontus,Cappadocia,Bithynia et Pontus,19.0
512441,EDCS-09100891,HD003484,Sirmium,207447,Pannonia superior,Pannonia inferior,Pannonia Superior,Pannonia Inferior,277.0
512442,EDCS-09100892,HD003487,Sirmium,207447,Pannonia superior,Pannonia inferior,Pannonia Superior,Pannonia Inferior,277.0
463783,EDCS-11400419,HD006592,Tarracina,433143,Bruttium et Lucania / Regio III,Latium et Campania (Regio I),Bruttium et Lucania / Regio III,Latium et Campania / Regio I,258.0
521639,EDCS-01600521,HD057332,Tarsatica,197541,Venetia et Histria / Regio X,Dalmatia,Venetia et Histria / Regio X,Dalmatia,5.0
521651,EDCS-01601304,HD057307,Tarsatica,197541,Venetia et Histria / Regio X,Dalmatia,Venetia et Histria / Regio X,Dalmatia,5.0
